key,fileid,age,mlu,utterance,participants,child_sex,context,zero_reference,zero_type,physical_object,input_output,used_correctly
122,Weist/Matt/mat46.xml,53,[5.946666666666666], yup zero dollars ,"CHI, MOT, LES (investigator(",male,Free play,"MOT and CHI playing with plastic farm animals, MOT asks if food is free, and child says food is 'zero dollars'",nonexistence,,output,yes
123,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars ,"CHI, MOT, LES (investigator(",male,Free play,CHI confirms that food is 'zero dollars',nonexistence,,output,yes
124,Brown/Sarah/sarah114.xml,55,[4.4124293785310735], i guess that is zero ,"CHI, MOT, MEL, GAI",female,CHI is writing and drawing with investigator (MEL),"CHI is copying what the investigator wrote earlier - the investigator might have asked a clarifying question earlier about what character the child was writing, and then agrees that the child did write a a zero",symbolic,,input,yes
125,Brown/Sarah/sarah115.xml,55,[4.569377990430622], well now you have to go make a zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT tells CHI she needs to make a zero as her move in the game,symbolic,,input,yes
126,Brown/Sarah/sarah115.xml,55,[4.569377990430622], well no you have to go make a zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT tells CHI she needs to make a zero as her move in the game,symbolic,,input,yes
127,Brown/Sarah/sarah115.xml,55,[4.569377990430622], what do you want   or zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT asks CHI whether she wants to be X or O,symbolic,,input,yes
128,Brown/Sarah/sarah115.xml,55,[4.569377990430622], oh you re zero huh ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,input,yes
129,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re a zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,input,yes
130,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re supposed to put the zero here so you can win ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,input,yes
131,Brown/Sarah/sarah115.xml,55,[4.569377990430622], there see if you put the zero there you would win ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,input,yes
132,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re gonna put it in there the zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,input,yes
133,Brown/Sarah/sarah115.xml,55,[4.569377990430622], see you should o put that zero down there so i couldn t win ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,input,yes
134,Brown/Sarah/sarah115.xml,55,[4.569377990430622], a zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,output,yes
135,Brown/Sarah/sarah115.xml,55,[4.569377990430622], zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,output,yes
136,Brown/Sarah/sarah115.xml,55,[4.569377990430622], a zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,output,yes
137,Brown/Sarah/sarah115.xml,55,[4.569377990430622], um zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,output,yes
138,Brown/Sarah/sarah115.xml,55,[4.569377990430622], how d you know i wanted a zero ,"CHI, MOT, GAI, ANN, MEL",female,MOT and CHI are playing tic tac toe,MOT and CHI talking about X and O in tic tac toe,symbolic,,output,yes
139,HSLLD/HV2/MT/petmt2.xml,55,[5.282828282828283], i did seven zero six six five two one nine ,"CHI, MOT",male,"at home, meal time",MOT asks what numbers CHI wrote down in school,symbolic,,output,yes
140,Weist/Roman/rom42.xml,56,[5.9245283018867925], zero zero six ,"CHI, FAT",male,Free play,"CHI, FAT, and INV are playing with a toy cash register; CHI is reading prices/barcodes",symbolic,,output,yes
141,Weist/Roman/rom42.xml,56,[5.9245283018867925], no but where is zero ,"CHI, FAT",male,Free play,"CHI, FAT, and INV are playing with a toy cash register; CHI is reading prices/barcodes",symbolic,,output,yes
142,Weist/Roman/rom42.xml,56,[5.9245283018867925], zero zero ,"CHI, FAT",male,Free play,"CHI, FAT, and INV are playing with a toy cash register; CHI is reading prices/barcodes",symbolic,,output,yes
143,Hall/BlackPro/anc.xml,57,[5.887884267631103], it makes it that much even sweeter sixseeing as to she got zero this year nothing at all ,"CHI, EXP, FAT, MOT, UNK, GRO, TEL_TV",,Prior to departure for school,MOT and FAT and EXP are talking about money that MOT got for graduate studies,nonexistence,,input,yes
144,Hall/BlackPro/jaf.xml,57,[4.363957597173145], the plane arrives at four zero one ,"CHI, MOT, BRO, EXP, UNK, FAD (female adult), MCH (male child), FCH (female child), TCA (teacher's aide - adult), FAT  ",,Prior to departure for school,MOT is on phone,symbolic,,input,yes
145,Hall/BlackPro/trh.xml,57,[7.090737240075614], zero sisters ,"EXP, CHI , MOT, FAD, MAD< MCH, UNK, FCH, GRO, TEL_TV, BRO, TEA (teacher), TCA, SIS",,Prior to departure for school,CHI asks EXP if s/he has brothers or sisters,nonexistence,,input,yes
146,Hall/WhitePro/job.xml,57,[7.728278041074249], so we re batting zero on that eh ,"CHI, FAT, EXP, MOT, MAD, FAD, MCH, FCH, TEA, TCA, UNK, GRA (grandmother), GRF (grandfather)",male,"before school, father is getting Joey ready for school.","MOT and FAT are talking about selling raffle tickets to someone, MOT says she failed to sell someone a ticket, FAT responds",nonexistence,,input,yes
147,Hall/WhiteWork/mig.xml,57,[5.823569482288828], put the nine and then the zero ,"CHI, MOT, BRO, EXP, FAT, MCH, MAD, FAD, UNK, FCH, TEA, SIS, GRO",,in school,Children seem to be doing some kind of block counting exercise - SIS is helping Michael (target child??) with this worksheet,symbolic,,input,yes
148,Hall/WhiteWork/mig.xml,57,[5.823569482288828], no no the zero goes after ,"CHI, MOT, BRO, EXP, FAT, MCH, MAD, FAD, UNK, FCH, TEA, SIS, GRO",,in school,Children seem to be doing some kind of block counting exercise - TEA tells a child where to put a 0,symbolic,,input,yes
149,Hall/WhiteWork/mig.xml,57,[5.823569482288828], is one more than zero ,"CHI, MOT, BRO, EXP, FAT, MCH, MAD, FAD, UNK, FCH, TEA, SIS, GRO",,in school,Children seem to be doing some kind of block counting exercise - TEA asks CHI is 1 is more than 0,,,input,yes
150,Hall/WhiteWork/mig.xml,57,[5.823569482288828], okay one is more than zero so it means what ,"CHI, MOT, BRO, EXP, FAT, MCH, MAD, FAD, UNK, FCH, TEA, SIS, GRO",,in school,Children seem to be doing some kind of block counting exercise - TEA is pressing CHI on what 'zero' means,,,input,yes
151,HSLLD/HV2/MT/rosmt2.xml,57,[5.1976744186046515], maybe she s a three with a zero after the three ,"CHI, FAT, MOT, SIS",female,"at home, meal time","FAT asks how old someone is, CHI answers 'three', mother says that she has to be older - maybe 'three' with a 'zero' after the 'three'",symbolic,,input,yes
152,Brown/Adam/adam52.xml,57,[5.92991452991453], one seven zero ,"CHI, MOT, URS, DIA, ROB, PAU",male,CHI is playing with toy adding machine,CHI likely hitting numbers on toy,symbolic,,output,yes
153,Hall/BlackPro/trh.xml,57,[7.090737240075614], ten nine seven six five four three two one zero blas off ,"EXP, CHI , MOT, FAD, MAD< MCH, UNK, FCH, GRO, TEL_TV, BRO, TEA (teacher), TCA, SIS",,Prior to departure for school,Male Child is playing with a toy - possibly rocketship?,count_number,,output,yes
154,Hall/WhiteWork/mig.xml,57,[5.823569482288828], um zero ,"CHI, MOT, BRO, EXP, FAT, MCH, MAD, FAD, UNK, FCH, TEA, SIS, GRO",,in school,"Children seem to be doing some kind of block counting exercise - TEA asks CHI is 1 is more than 0, CHI answers, but doesn't seem to understand",,,output,
155,Hall/WhiteWork/sut.xml,57,[6.240773286467487], so beach bab i beach bab i zero ,"FAT, SIS, CHI, EXP, UNK, FAD, MAD, MCH, TEA, FCH, GRO",,getting ready for school,"CHI and FAT are playing, CHI is singing - unclear why CHI says 'zero'",,,output,no
156,Kuczaj/abe201.xml,58,[7.829268292682927], mom everytime i laugh zero cough ,"CHI, FAT, MOT",male,meal time,Unclear,NA,,output,NA
157,Gleason/Father/helen.xml,59,[5.256756756756757], zero ,"CHI, FAT, INV",female,Lab visit with FAT,"CHI and FAT are playing with a toy cash register, FAT asks child to find a nine, child finds a 'zero', FAT asks for clarification",symbolic,,input,yes
158,Gleason/Mother/helen.xml,59,[4.792642140468227], no that s zero ,"CHI, MOT, INV",female,Lab visit with MOT,"CHI and MOT playing with cash register toy, MOT corrects child - seems like child mistook 'zero' button for 1 dollar",symbolic,,input,yes
159,HSLLD/HV1/TP/nedtp1.xml,59,[3.1666666666666665], four two seven one o zero one no four two seven two one seven five ,"CHI, MOT, SIS, TYR, GRM, INV",male,at home,SIS is reciting a phone number. Note that the transcriber put in 'zero' when the child actually said 'o',symbolic,,input,yes
160,HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], zero on the floor ,"CHI, MOT, SIS",female,at home,SIS is helping clean up some rice - she says 'none on the floor' followed by 'zero on the floor',nonexistence,,input,yes
161,HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], zero on the floor ,"CHI, MOT, SIS",female,at home,"SIS is helping clean up some rice - she says 'none on the floor' followed by 'zero on the floor', CHI says 'a zero', and SIS repeats herself",nonexistence,,input,yes
162,HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], a zero ,"CHI, MOT, SIS",female,at home,"SIS is helping clean up some rice - she says 'none on the floor' followed by 'zero on the floor', CHI says 'a zero'",nonexistence,,input,yes
163,Gleason/Mother/helen.xml,59,[4.792642140468227], it s five and zero ,"CHI, MOT, INV",female,Lab visit with MOT,"CHI and MOT playing with toy cash register, MOT asks what the 50 button is, child answers",symbolic,,output,yes
164,Gleason/Father/helen.xml,59,[5.256756756756757], i got zero ,"CHI, FAT, INV",female,Lab visit with FAT,"CHI and FAT playing with cash register, FAT asks CHI to find a 'nine', CHI says she has a 'zero'",,,,
165,Cornell/lsno121.xml,60,[5.175438596491228], jessica is zero ,"CHI, MOT, NUR",male,CHI and MOT are talking about ages,MOT says that a baby sister is 'zero',,,input,yes
166,Weist/Matt/mat56.xml,60,[7.684210526315789], you may have one two or zero and i don t want to hear about any more it s starting to make me feel like you re not doing a good job ,"CHI, MOT, HEL Investigator)",male,MOT and CHI discussing coins,MOT tells CHI how many quarters he may have,count_number,,input,yes
167,Cornell/lsno121.xml,60,[5.175438596491228], six and zero ,"CHI, MOT, NUR",male,NUR asks CHI how old siblings are,CHI responds siblings are six and zero,,,output,yes
168,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or an o ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe - MOT is helping with explanation,symbolic,,input,yes
169,Brown/Sarah/sarah136.xml,61,[5.21505376344086], no zero or an   ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe - MOT is helping with explanation,symbolic,,input,yes
170,Brown/Sarah/sarah136.xml,61,[5.21505376344086], oh okay i ll take zero ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe - GAI says that she'll be the zero,symbolic,,input,yes
171,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], you ll have a zero ,"CHI, MOT, GAI",female,CHI and investigator (GAI) are playing tic-tac-toe,GAI asks CHI if she's O in tic-tac-toe,symbolic,,input,yes
172,Brown/Sarah/sarah136.xml,61,[5.21505376344086], you want zero or um ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe,symbolic,,output,yes
173,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or a o ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,"CHI is explaining to GAI how to play tic-tac-toe, CHI asks GAI whether she wants to be 'zero' or an o - doesn't seem to have perfectly mapped zero to symbolic form",symbolic,,output,no
174,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or a   ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,"CHI is explaining to GAI how to play tic-tac-toe, CHI asks GAI whether she wants to be 'zero' or an x after being corrected by MOT",symbolic,,output,yes
175,Brown/Sarah/sarah136.xml,61,[5.21505376344086], y want zero or a   ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe,symbolic,,output,yes
176,Brown/Sarah/sarah136.xml,61,[5.21505376344086], that means you have to you want a zero ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe,symbolic,,output,yes
177,Brown/Sarah/sarah136.xml,61,[5.21505376344086], i i want zero ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe,symbolic,,output,yes
178,Brown/Sarah/sarah136.xml,61,[5.21505376344086], i want zero i said ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe,symbolic,,output,yes
179,Brown/Sarah/sarah136.xml,61,[5.21505376344086], you re zero ,"CHI, MOT, GAI, ROG, BET",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI is explaining to GAI how to play tic-tac-toe,symbolic,,output,yes
180,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], a zero ,"CHI, MOT, GAI",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI confirms that she is zero/O in tic-tac-toe,symbolic,,output,yes
181,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], a zero ,"CHI, MOT, GAI",female,CHI and investigator (GAI) are playing tic-tac-toe,CHI confirms that she is zero/O in tic-tac-toe,symbolic,,output,yes
182,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], i ll have a zero okay ,"CHI, MOT, GAI",male,CHI and investigator (GAI) are playing tic-tac-toe,CHI confirms that she is zero/O in tic-tac-toe,symbolic,,output,yes
183,Gleason/Dinner/frank.xml,62,[4.34], three three three seven nine eight zero ,"CHI, MOT, FAT",male,Home dinner conversation,"MOT asks CHI what his phone number is, child answers",symbolic,,output,yes
184,MacWhinney/61b1.xml,66,[11.893333333333333], zero ,"CHI (Ross, target child), MAR (Mark, Target Child), FAT, MOT",male,Dad talking with CHI,Dad asks CHI whether he plays with someone named Timmy,,,output,no
185,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], add a zero ,"CHI, MOT, BRO, FAT",male,"home, meal time","MOT and CHI are BRO are talking about time, and then doing some addition problems. CHI initially says that 70 plus 70 is 80, but BRO corrects him, asking first what 7 plus 7 is, then tells CHI to add a 0 to that",symbolic,,input,yes
186,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], put a zero ne t to fourteen chi ,"CHI, MOT, BRO, FAT",male,"home, meal time","MOT and CHI are BRO are talking about time, and then doing some addition problems. CHI initially says that 70 plus 70 is 80, but BRO corrects him, asking first what 7 plus 7 is, then tells CHI to add a 0 to that",symbolic,,input,yes
187,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], just add a zero ,"CHI, MOT, BRO, FAT",male,"home, meal time","MOT and CHI are BRO are talking about time, and then doing some addition problems. CHI initially says that 70 plus 70 is 80, but BRO corrects him, asking first what 7 plus 7 is, then tells CHI to add a 0 to that",symbolic,,input,yes
188,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], i know he does the concept of adding the zero um to ,"CHI, MOT, BRO, FAT",male,"home, meal time","MOT and CHI are BRO are talking about time, and then doing some addition problems. Unclear what MOT is referring to - maybe just that the child knows how to add a 0 to a number to change the place values?",symbolic,,input,yes
189,HSLLD/HV3/MT/ethmt3.xml,67,[4.252252252252252], i know but then i said put the zero after the four ,"CHI, MOT, BRO, FAT",male,"home, meal time","MOT and CHI are BRO are talking about time, and then doing some addition problems. BRO says that he is telling CHI how to solve problem.",symbolic,,input,yes
190,HSLLD/HV3/ET/teret3.xml,67,[4.617283950617284], zero ,"CHI, MOT, SIS, INV",female,"at home, explanatory task with magnets",MOT asks CHI to read the time,symbolic,,output,yes
191,HSLLD/HV3/MT/kurmt3.xml,67,[4.425531914893617], at six zero ,"CHI, MOT, SIS",male,"home, meal time",CHI is trying to tell time,symbolic,,output,yes
192,HSLLD/HV3/ET/treet3.xml,67,[4.617283950617284], zero ,COULD NOT FIND,,NA,NA,NA,,NA,NA
193,MacWhinney/65a1.xml,69,[6.735632183908046], two zero two zero ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,"CHI asks FAT what their phone number is, FAT answers",,,input,yes
194,MacWhinney/65a1.xml,69,[6.735632183908046], zero ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,"CHI repeats phone number, might be pressing buttons on the phone, trails off, and dad prompts him the next number",symbolic,,input,yes
195,MacWhinney/65a1.xml,69,[6.735632183908046], two zero five one ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,"CHI asks FAT what their phone number is, FAT answers",,,input,yes
196,MacWhinney/65a1.xml,69,[6.735632183908046], i can t get zero ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,"CHI repeats phone number, seems to not be able to find zero",symbolic,,output,yes
197,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,CHI repeats phone number,symbolic,,output,yes
198,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,CHI repeats phone number,symbolic,,output,yes
199,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,CHI repeats phone number,symbolic,,output,yes
200,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one ,"CHI, MAR, FAT, MOT",male,FAT talking with CHI,CHI repeats phone number,symbolic,,output,yes
201,HSLLD/HV3/MT/anamt3.xml,70,[5.03125], eight eight nine one one zero zero three ,"CHI, MOT, BRO",female,"home, meal time","unclear - BRO says that he can do something, and writes down numbers. Potentially a phone number?",symbolic,,input,
202,MacWhinney/76a1.xml,78,[7.2105263157894735], just press one button and it does all those numbers that you punch you know eight zero zero five six three two nine four eight ,"CHI, MAR, FAT, MOT",male,FAT and CHI and MAR are talking about the phone,FAT tells CHI that autmatic redial lets someone call the last number they dialed,symbolic,,output,yes
203,HSLLD/HV5/MT/davmt5.xml,88,[4.932038834951456], baseball     one zero zero one zero zero zero ,"CHI, MOT, BRO, FAT",male,"home, meal time","CHI states he is saving up for a game, ""1 million game,"" then starts to list the digits",symbolic,,output,yes
204,HSLLD/HV5/MT/davmt5.xml,88,[4.932038834951456], one point zero zero zero because it s a     when you pitch it um     ,"CHI, MOT, BRO, FAT",male,"home, meal time",unclear - CHI seems like he is still talking about baseball nintendo game?,,,output,
205,HSLLD/HV5/MT/trimt5.xml,89,[8.511111111111111], less than zero ,"CHI, MOT",female,"home, meal time","MOT and CHI are talking about math problems CHI got wrong. CHI asks a negative is, MOT responds",,,input,yes
206,MacWhinney/89b2.xml,89,[4.057142857142857], fifteen take away zero is fifteen ,"MAR, CHI, FAT",male,FAT and MAR and CHI are playing go go yo yo ,"CHI is announcing how many he got after rolling the dice, and is able to successfully subtract 0 from 15",,,output,yes
207,HSLLD/HV5/MT/vicmt5.xml,90,[7.762711864406779], www they take about size zero and a half ,"CHI, MOT, SIS, BRO, FAT",female,"home, meal time","family is talking about ice skating, MOT says she will bring cat and dog, SIS says they would take very small skates",symbolic,,input,yes
208,HSLLD/HV5/MT/vicmt5.xml,90,[7.762711864406779], i mean below zero and a half ,"CHI, MOT, SIS, BRO, FAT",female,"home, meal time","family is talking about ice skating, MOT says she will bring cat and dog, SIS says they would take very small skates",symbolic,,input,yes
209,HSLLD/HV7/MT/rosmt7.xml,117,[5.615384615384615], zero or marco or what ,"CHI, MOT, FAT",female,"home, meal time",FAT is thinking of names of the Marx brothers,NA,,input,NA
210,HSLLD/HV7/MD/jammt7.xml,124,[7.396341463414634], it doesn t start at zero ,"CHI, MOT, FAT",male,"home, meal time","FAT and CHI talking about how long a movie is, FAT states that movie doesn't start at 0",symbolic,,input,yes
211,HSLLD/HV7/MD/jammt7.xml,124,[7.396341463414634], well see on the tv it says two three o zero zero ,"CHI, MOT, FAT",MALE,"home, meal time","FAT and CHI talking about how long a movie is, CHI reads time on VCR",symbolic,,output,yes
212,Brent/w1/w1-1206.xml,[None],[0], three zero nine     ,MOT,female,MOT is talking to preverbal infant,MOT starts saying random numbers,symbolic,,input,yes
213,Gathercole/07.xml,[None],[0], zero ,"SAA (Sasha target child), NIC (Nicole target child), BRI (Brian target child), RAC (Rachel child), NAT (Nathan child), BRY (Bryan child), ALI (Ali child), MAT (Matthew child), UNK (anonymous child), BOB (Bobbi adult), VIR (investigator), GIL (unidentified)",,Children are talking about numbers and mathematics,"BRI says he knows that one minus one is two, but VIR corrects him and says that it is zero",symbolic,,input,yes
214,Gathercole/07.xml,[None],[0], zero ,"SAA (Sasha target child), NIC (Nicole target child), BRI (Brian target child), RAC (Rachel child), NAT (Nathan child), BRY (Bryan child), ALI (Ali child), MAT (Matthew child), UNK (anonymous child), BOB (Bobbi adult), VIR (investigator), GIL (unidentified)",,VIR is instructing BRI about zero,"VIR is teaching BRI with pencils that if he has one and takes it away, then he has zero pencils - she says later 'you have none, right?'",symbolic,,input,yes
215,Gathercole/08.xml,[None],[0], how come you re zero ,"MEG (Megan target child), SAR (Sarah target child), LIL (Lily target child), RAC (Rachel target child), GAY (Gay adult), MIC (Michael child), KEN (Kenny child), CON (Connie child), BOB (Bobbi adult), TEA (teacher), VIR (Virginia investigator), UNK (Unidentified)",,Children are talking about lunch,VIR asks LIL why she's a zero - LIL responds that it's because she already ate her lunch,,,input,
216,Gleason/Father/eddie.xml,[None],[3.986899563318777], okay hit that zero ,"CHI, FAT, INV",male,Lab visit with FAT,"CHI and FAT are playing with a toy cash register, FAT tells CHI to hit a 'zero' button",symbolic,,input,yes
217,HSLLD/HV7/MD/anamd7.xml,[None],[0], i ll be a zero www ,"MOT, INV",NA,NA,"mother defintitions - unclear what this refers to, but there is no child present",NA,,NA,NA
218,Cornell/mom0502.xml,[None],[0], no five and a dot then you put a zero ,"WEN (child), MOT, NIC (child), ALT (child), ERL (child), FAT, GRA",,MOT asks ERL how he would write the time on a clock,MOT asks ERL how he would write the time on a clock,,,output,yes
219,Cornell/mom0502.xml,[None],[0], why does it say one two zero zero ,"WEN (child), MOT, NIC (child), ALT (child), ERL (child), FAT, GRA",,ALT asks why something (lightbulb?) says 1200,ALT asks why something (lightbulb?) says 1200,symbolic,,output,yes
220,Cornell/mom07.xml,[None],[0], it s almost below zero ,"JEN (child), MOT, FAT, GRA, DANA (child), GRP",,Family is talking about Halloween costumes,DAN (child) says that the temperature is almost below zero,,,output,yes
221,Cornell/mom07.xml,[None],[0], where s your zero ,"JEN (child), MOT, FAT, GRA, DANA (child), GRP",,DAN (child) and MOT are helping JEN with her homework,DAN (child) asks JEN why she put a zero in the answer for her homework,symbolic,,output,yes
222,Cornell/mom07.xml,[None],[0], why d you put a zero may i ask ,"JEN (child), MOT, FAT, GRA, DANA (child), GRP",,DAN (child) and MOT are helping JEN with her homework,DAN (child) asks JEN why she put a zero in the answer for her homework,symbolic,,output,yes
223,Gathercole/08.xml,[None],[0], no you re you re zero ,"MEG (Megan target child), SAR (Sarah target child), LIL (Lily target child), RAC (Rachel target child), GAY (Gay adult), MIC (Michael child), KEN (Kenny child), CON (Connie child), BOB (Bobbi adult), TEA (teacher), VIR (Virginia investigator), UNK (Unidentified)",,VIR is talking about not having any lunch with SAR,"SAR says ""no you're a zero"", but unclear if she's referring to not having any lunch or to something else",,,output,
224,Gathercole/08.xml,[None],[0], you re zero ,"MEG (Megan target child), SAR (Sarah target child), LIL (Lily target child), RAC (Rachel target child), GAY (Gay adult), MIC (Michael child), KEN (Kenny child), CON (Connie child), BOB (Bobbi adult), TEA (teacher), VIR (Virginia investigator), UNK (Unidentified)",,Children are talking about lunch,LIL repeats what SAR says,,,output,
225,Sawyer/2-07-92.xml,[None],[0], five four three two one zero blastoff ,Group of children - approximately 24 3--5-year-olds,NA,Play time,"Seems like there is a rocketship toy, and Andy makes this utterance",count_number,,output,yes
